Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,source_league,source_season,source_provider
SERIEA,21/08/2021,Empoli FC,SS Lazio,1,3,A,SERIEA,2021-22,openfootball
SERIEA,21/08/2021,FC Internazionale Milano,Genoa CFC,4,0,H,SERIEA,2021-22,openfootball
SERIEA,21/08/2021,Hellas Verona FC,US Sassuolo Calcio,2,3,A,SERIEA,2021-22,openfootball
SERIEA,21/08/2021,Torino FC,Atalanta BC,1,2,A,SERIEA,2021-22,openfootball
SERIEA,22/08/2021,AS Roma,ACF Fiorentina,3,1,H,SERIEA,2021-22,openfootball
SERIEA,22/08/2021,Bologna FC 1909,US Salernitana 1919,3,2,H,SERIEA,2021-22,openfootball
SERIEA,22/08/2021,SSC Napoli,Venezia FC,2,0,H,SERIEA,2021-22,openfootball
SERIEA,22/08/2021,Udinese Calcio,Juventus FC,2,2,D,SERIEA,2021-22,openfootball
SERIEA,23/08/2021,Cagliari Calcio,Spezia Calcio,2,2,D,SERIEA,2021-22,openfootball
SERIEA,23/08/2021,UC Sampdoria,AC Milan,0,1,A,SERIEA,2021-22,openfootball
SERIEA,27/08/2021,Hellas Verona FC,FC Internazionale Milano,1,3,A,SERIEA,2021-22,openfootball
SERIEA,27/08/2021,Udinese Calcio,Venezia FC,3,0,H,SERIEA,2021-22,openfootball
SERIEA,28/08/2021,ACF Fiorentina,Torino FC,2,1,H,SERIEA,2021-22,openfootball
SERIEA,28/08/2021,Atalanta BC,Bologna FC 1909,0,0,D,SERIEA,2021-22,openfootball
SERIEA,28/08/2021,Juventus FC,Empoli FC,0,1,A,SERIEA,2021-22,openfootball
SERIEA,28/08/2021,SS Lazio,Spezia Calcio,6,1,H,SERIEA,2021-22,openfootball
SERIEA,29/08/2021,AC Milan,Cagliari Calcio,4,1,H,SERIEA,2021-22,openfootball
SERIEA,29/08/2021,Genoa CFC,SSC Napoli,1,2,A,SERIEA,2021-22,openfootball
SERIEA,29/08/2021,US Salernitana 1919,AS Roma,0,4,A,SERIEA,2021-22,openfootball
SERIEA,29/08/2021,US Sassuolo Calcio,UC Sampdoria,0,0,D,SERIEA,2021-22,openfootball
SERIEA,11/09/2021,Atalanta BC,ACF Fiorentina,1,2,A,SERIEA,2021-22,openfootball
SERIEA,11/09/2021,Empoli FC,Venezia FC,1,2,A,SERIEA,2021-22,openfootball
SERIEA,11/09/2021,SSC Napoli,Juventus FC,2,1,H,SERIEA,2021-22,openfootball
SERIEA,12/09/2021,AC Milan,SS Lazio,2,0,H,SERIEA,2021-22,openfootball
SERIEA,12/09/2021,AS Roma,US Sassuolo Calcio,2,1,H,SERIEA,2021-22,openfootball
SERIEA,12/09/2021,Cagliari Calcio,Genoa CFC,2,3,A,SERIEA,2021-22,openfootball
SERIEA,12/09/2021,Spezia Calcio,Udinese Calcio,0,1,A,SERIEA,2021-22,openfootball
SERIEA,12/09/2021,Torino FC,US Salernitana 1919,4,0,H,SERIEA,2021-22,openfootball
SERIEA,12/09/2021,UC Sampdoria,FC Internazionale Milano,2,2,D,SERIEA,2021-22,openfootball
SERIEA,13/09/2021,Bologna FC 1909,Hellas Verona FC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,17/09/2021,US Sassuolo Calcio,Torino FC,0,1,A,SERIEA,2021-22,openfootball
SERIEA,18/09/2021,FC Internazionale Milano,Bologna FC 1909,6,1,H,SERIEA,2021-22,openfootball
SERIEA,18/09/2021,Genoa CFC,ACF Fiorentina,1,2,A,SERIEA,2021-22,openfootball
SERIEA,18/09/2021,US Salernitana 1919,Atalanta BC,0,1,A,SERIEA,2021-22,openfootball
SERIEA,19/09/2021,Empoli FC,UC Sampdoria,0,3,A,SERIEA,2021-22,openfootball
SERIEA,19/09/2021,Hellas Verona FC,AS Roma,3,2,H,SERIEA,2021-22,openfootball
SERIEA,19/09/2021,Juventus FC,AC Milan,1,1,D,SERIEA,2021-22,openfootball
SERIEA,19/09/2021,SS Lazio,Cagliari Calcio,2,2,D,SERIEA,2021-22,openfootball
SERIEA,19/09/2021,Venezia FC,Spezia Calcio,1,2,A,SERIEA,2021-22,openfootball
SERIEA,20/09/2021,Udinese Calcio,SSC Napoli,0,4,A,SERIEA,2021-22,openfootball
SERIEA,21/09/2021,ACF Fiorentina,FC Internazionale Milano,1,3,A,SERIEA,2021-22,openfootball
SERIEA,21/09/2021,Atalanta BC,US Sassuolo Calcio,2,1,H,SERIEA,2021-22,openfootball
SERIEA,21/09/2021,Bologna FC 1909,Genoa CFC,2,2,D,SERIEA,2021-22,openfootball
SERIEA,22/09/2021,AC Milan,Venezia FC,2,0,H,SERIEA,2021-22,openfootball
SERIEA,22/09/2021,Cagliari Calcio,Empoli FC,0,2,A,SERIEA,2021-22,openfootball
SERIEA,22/09/2021,Spezia Calcio,Juventus FC,2,3,A,SERIEA,2021-22,openfootball
SERIEA,22/09/2021,US Salernitana 1919,Hellas Verona FC,2,2,D,SERIEA,2021-22,openfootball
SERIEA,23/09/2021,AS Roma,Udinese Calcio,1,0,H,SERIEA,2021-22,openfootball
SERIEA,23/09/2021,Torino FC,SS Lazio,1,1,D,SERIEA,2021-22,openfootball
SERIEA,23/09/2021,UC Sampdoria,SSC Napoli,0,4,A,SERIEA,2021-22,openfootball
SERIEA,25/09/2021,FC Internazionale Milano,Atalanta BC,2,2,D,SERIEA,2021-22,openfootball
SERIEA,25/09/2021,Genoa CFC,Hellas Verona FC,3,3,D,SERIEA,2021-22,openfootball
SERIEA,25/09/2021,Spezia Calcio,AC Milan,1,2,A,SERIEA,2021-22,openfootball
SERIEA,26/09/2021,Empoli FC,Bologna FC 1909,4,2,H,SERIEA,2021-22,openfootball
SERIEA,26/09/2021,Juventus FC,UC Sampdoria,3,2,H,SERIEA,2021-22,openfootball
SERIEA,26/09/2021,SS Lazio,AS Roma,3,2,H,SERIEA,2021-22,openfootball
SERIEA,26/09/2021,SSC Napoli,Cagliari Calcio,2,0,H,SERIEA,2021-22,openfootball
SERIEA,26/09/2021,US Sassuolo Calcio,US Salernitana 1919,1,0,H,SERIEA,2021-22,openfootball
SERIEA,26/09/2021,Udinese Calcio,ACF Fiorentina,0,1,A,SERIEA,2021-22,openfootball
SERIEA,27/09/2021,Venezia FC,Torino FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,01/10/2021,Cagliari Calcio,Venezia FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,02/10/2021,Torino FC,Juventus FC,0,1,A,SERIEA,2021-22,openfootball
SERIEA,02/10/2021,US Salernitana 1919,Genoa CFC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,02/10/2021,US Sassuolo Calcio,FC Internazionale Milano,1,2,A,SERIEA,2021-22,openfootball
SERIEA,03/10/2021,ACF Fiorentina,SSC Napoli,1,2,A,SERIEA,2021-22,openfootball
SERIEA,03/10/2021,AS Roma,Empoli FC,2,0,H,SERIEA,2021-22,openfootball
SERIEA,03/10/2021,Atalanta BC,AC Milan,2,3,A,SERIEA,2021-22,openfootball
SERIEA,03/10/2021,Bologna FC 1909,SS Lazio,3,0,H,SERIEA,2021-22,openfootball
SERIEA,03/10/2021,Hellas Verona FC,Spezia Calcio,4,0,H,SERIEA,2021-22,openfootball
SERIEA,03/10/2021,UC Sampdoria,Udinese Calcio,3,3,D,SERIEA,2021-22,openfootball
SERIEA,16/10/2021,AC Milan,Hellas Verona FC,3,2,H,SERIEA,2021-22,openfootball
SERIEA,16/10/2021,SS Lazio,FC Internazionale Milano,3,1,H,SERIEA,2021-22,openfootball
SERIEA,16/10/2021,Spezia Calcio,US Salernitana 1919,2,1,H,SERIEA,2021-22,openfootball
SERIEA,17/10/2021,Cagliari Calcio,UC Sampdoria,3,1,H,SERIEA,2021-22,openfootball
SERIEA,17/10/2021,Empoli FC,Atalanta BC,1,4,A,SERIEA,2021-22,openfootball
SERIEA,17/10/2021,Genoa CFC,US Sassuolo Calcio,2,2,D,SERIEA,2021-22,openfootball
SERIEA,17/10/2021,Juventus FC,AS Roma,1,0,H,SERIEA,2021-22,openfootball
SERIEA,17/10/2021,SSC Napoli,Torino FC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,17/10/2021,Udinese Calcio,Bologna FC 1909,1,1,D,SERIEA,2021-22,openfootball
SERIEA,18/10/2021,Venezia FC,ACF Fiorentina,1,0,H,SERIEA,2021-22,openfootball
SERIEA,22/10/2021,Torino FC,Genoa CFC,3,2,H,SERIEA,2021-22,openfootball
SERIEA,22/10/2021,UC Sampdoria,Spezia Calcio,2,1,H,SERIEA,2021-22,openfootball
SERIEA,23/10/2021,Bologna FC 1909,AC Milan,2,4,A,SERIEA,2021-22,openfootball
SERIEA,23/10/2021,US Salernitana 1919,Empoli FC,2,4,A,SERIEA,2021-22,openfootball
SERIEA,23/10/2021,US Sassuolo Calcio,Venezia FC,3,1,H,SERIEA,2021-22,openfootball
SERIEA,24/10/2021,ACF Fiorentina,Cagliari Calcio,3,0,H,SERIEA,2021-22,openfootball
SERIEA,24/10/2021,AS Roma,SSC Napoli,0,0,D,SERIEA,2021-22,openfootball
SERIEA,24/10/2021,Atalanta BC,Udinese Calcio,1,1,D,SERIEA,2021-22,openfootball
SERIEA,24/10/2021,FC Internazionale Milano,Juventus FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,24/10/2021,Hellas Verona FC,SS Lazio,4,1,H,SERIEA,2021-22,openfootball
SERIEA,26/10/2021,AC Milan,Torino FC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,26/10/2021,Spezia Calcio,Genoa CFC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,26/10/2021,Venezia FC,US Salernitana 1919,1,2,A,SERIEA,2021-22,openfootball
SERIEA,27/10/2021,Cagliari Calcio,AS Roma,1,2,A,SERIEA,2021-22,openfootball
SERIEA,27/10/2021,Empoli FC,FC Internazionale Milano,0,2,A,SERIEA,2021-22,openfootball
SERIEA,27/10/2021,Juventus FC,US Sassuolo Calcio,1,2,A,SERIEA,2021-22,openfootball
SERIEA,27/10/2021,SS Lazio,ACF Fiorentina,1,0,H,SERIEA,2021-22,openfootball
SERIEA,27/10/2021,UC Sampdoria,Atalanta BC,1,3,A,SERIEA,2021-22,openfootball
SERIEA,27/10/2021,Udinese Calcio,Hellas Verona FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,28/10/2021,SSC Napoli,Bologna FC 1909,3,0,H,SERIEA,2021-22,openfootball
SERIEA,30/10/2021,Atalanta BC,SS Lazio,2,2,D,SERIEA,2021-22,openfootball
SERIEA,30/10/2021,Hellas Verona FC,Juventus FC,2,1,H,SERIEA,2021-22,openfootball
SERIEA,30/10/2021,Torino FC,UC Sampdoria,3,0,H,SERIEA,2021-22,openfootball
SERIEA,31/10/2021,ACF Fiorentina,Spezia Calcio,3,0,H,SERIEA,2021-22,openfootball
SERIEA,31/10/2021,AS Roma,AC Milan,1,2,A,SERIEA,2021-22,openfootball
SERIEA,31/10/2021,FC Internazionale Milano,Udinese Calcio,2,0,H,SERIEA,2021-22,openfootball
SERIEA,31/10/2021,Genoa CFC,Venezia FC,0,0,D,SERIEA,2021-22,openfootball
SERIEA,31/10/2021,US Salernitana 1919,SSC Napoli,0,1,A,SERIEA,2021-22,openfootball
SERIEA,31/10/2021,US Sassuolo Calcio,Empoli FC,1,2,A,SERIEA,2021-22,openfootball
SERIEA,01/11/2021,Bologna FC 1909,Cagliari Calcio,2,0,H,SERIEA,2021-22,openfootball
SERIEA,05/11/2021,Empoli FC,Genoa CFC,2,2,D,SERIEA,2021-22,openfootball
SERIEA,06/11/2021,Cagliari Calcio,Atalanta BC,1,2,A,SERIEA,2021-22,openfootball
SERIEA,06/11/2021,Juventus FC,ACF Fiorentina,1,0,H,SERIEA,2021-22,openfootball
SERIEA,06/11/2021,Spezia Calcio,Torino FC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,07/11/2021,AC Milan,FC Internazionale Milano,1,1,D,SERIEA,2021-22,openfootball
SERIEA,07/11/2021,SS Lazio,US Salernitana 1919,3,0,H,SERIEA,2021-22,openfootball
SERIEA,07/11/2021,SSC Napoli,Hellas Verona FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,07/11/2021,UC Sampdoria,Bologna FC 1909,1,2,A,SERIEA,2021-22,openfootball
SERIEA,07/11/2021,Udinese Calcio,US Sassuolo Calcio,3,2,H,SERIEA,2021-22,openfootball
SERIEA,07/11/2021,Venezia FC,AS Roma,3,2,H,SERIEA,2021-22,openfootball
SERIEA,20/11/2021,ACF Fiorentina,AC Milan,4,3,H,SERIEA,2021-22,openfootball
SERIEA,20/11/2021,Atalanta BC,Spezia Calcio,5,2,H,SERIEA,2021-22,openfootball
SERIEA,20/11/2021,SS Lazio,Juventus FC,0,2,A,SERIEA,2021-22,openfootball
SERIEA,21/11/2021,Bologna FC 1909,Venezia FC,0,1,A,SERIEA,2021-22,openfootball
SERIEA,21/11/2021,FC Internazionale Milano,SSC Napoli,3,2,H,SERIEA,2021-22,openfootball
SERIEA,21/11/2021,Genoa CFC,AS Roma,0,2,A,SERIEA,2021-22,openfootball
SERIEA,21/11/2021,US Salernitana 1919,UC Sampdoria,0,2,A,SERIEA,2021-22,openfootball
SERIEA,21/11/2021,US Sassuolo Calcio,Cagliari Calcio,2,2,D,SERIEA,2021-22,openfootball
SERIEA,22/11/2021,Hellas Verona FC,Empoli FC,2,1,H,SERIEA,2021-22,openfootball
SERIEA,22/11/2021,Torino FC,Udinese Calcio,2,1,H,SERIEA,2021-22,openfootball
SERIEA,26/11/2021,Cagliari Calcio,US Salernitana 1919,1,1,D,SERIEA,2021-22,openfootball
SERIEA,27/11/2021,Empoli FC,ACF Fiorentina,2,1,H,SERIEA,2021-22,openfootball
SERIEA,27/11/2021,Juventus FC,Atalanta BC,0,1,A,SERIEA,2021-22,openfootball
SERIEA,27/11/2021,UC Sampdoria,Hellas Verona FC,3,1,H,SERIEA,2021-22,openfootball
SERIEA,27/11/2021,Venezia FC,FC Internazionale Milano,0,2,A,SERIEA,2021-22,openfootball
SERIEA,28/11/2021,AC Milan,US Sassuolo Calcio,1,3,A,SERIEA,2021-22,openfootball
SERIEA,28/11/2021,AS Roma,Torino FC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,28/11/2021,SSC Napoli,SS Lazio,4,0,H,SERIEA,2021-22,openfootball
SERIEA,28/11/2021,Spezia Calcio,Bologna FC 1909,0,1,A,SERIEA,2021-22,openfootball
SERIEA,28/11/2021,Udinese Calcio,Genoa CFC,0,0,D,SERIEA,2021-22,openfootball
SERIEA,30/11/2021,ACF Fiorentina,UC Sampdoria,3,1,H,SERIEA,2021-22,openfootball
SERIEA,30/11/2021,Atalanta BC,Venezia FC,4,0,H,SERIEA,2021-22,openfootball
SERIEA,30/11/2021,Hellas Verona FC,Cagliari Calcio,0,0,D,SERIEA,2021-22,openfootball
SERIEA,30/11/2021,US Salernitana 1919,Juventus FC,0,2,A,SERIEA,2021-22,openfootball
SERIEA,01/12/2021,Bologna FC 1909,AS Roma,1,0,H,SERIEA,2021-22,openfootball
SERIEA,01/12/2021,FC Internazionale Milano,Spezia Calcio,2,0,H,SERIEA,2021-22,openfootball
SERIEA,01/12/2021,Genoa CFC,AC Milan,0,3,A,SERIEA,2021-22,openfootball
SERIEA,01/12/2021,US Sassuolo Calcio,SSC Napoli,2,2,D,SERIEA,2021-22,openfootball
SERIEA,02/12/2021,SS Lazio,Udinese Calcio,4,4,D,SERIEA,2021-22,openfootball
SERIEA,02/12/2021,Torino FC,Empoli FC,2,2,D,SERIEA,2021-22,openfootball
SERIEA,04/12/2021,AC Milan,US Salernitana 1919,2,0,H,SERIEA,2021-22,openfootball
SERIEA,04/12/2021,AS Roma,FC Internazionale Milano,0,3,A,SERIEA,2021-22,openfootball
SERIEA,04/12/2021,SSC Napoli,Atalanta BC,2,3,A,SERIEA,2021-22,openfootball
SERIEA,05/12/2021,Bologna FC 1909,ACF Fiorentina,2,3,A,SERIEA,2021-22,openfootball
SERIEA,05/12/2021,Juventus FC,Genoa CFC,2,0,H,SERIEA,2021-22,openfootball
SERIEA,05/12/2021,Spezia Calcio,US Sassuolo Calcio,2,2,D,SERIEA,2021-22,openfootball
SERIEA,05/12/2021,UC Sampdoria,SS Lazio,1,3,A,SERIEA,2021-22,openfootball
SERIEA,05/12/2021,Venezia FC,Hellas Verona FC,3,4,A,SERIEA,2021-22,openfootball
SERIEA,06/12/2021,Cagliari Calcio,Torino FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,06/12/2021,Empoli FC,Udinese Calcio,3,1,H,SERIEA,2021-22,openfootball
SERIEA,10/12/2021,Genoa CFC,UC Sampdoria,1,3,A,SERIEA,2021-22,openfootball
SERIEA,11/12/2021,ACF Fiorentina,US Salernitana 1919,4,0,H,SERIEA,2021-22,openfootball
SERIEA,11/12/2021,Udinese Calcio,AC Milan,1,1,D,SERIEA,2021-22,openfootball
SERIEA,11/12/2021,Venezia FC,Juventus FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,12/12/2021,FC Internazionale Milano,Cagliari Calcio,4,0,H,SERIEA,2021-22,openfootball
SERIEA,12/12/2021,Hellas Verona FC,Atalanta BC,1,2,A,SERIEA,2021-22,openfootball
SERIEA,12/12/2021,SSC Napoli,Empoli FC,0,1,A,SERIEA,2021-22,openfootball
SERIEA,12/12/2021,Torino FC,Bologna FC 1909,2,1,H,SERIEA,2021-22,openfootball
SERIEA,12/12/2021,US Sassuolo Calcio,SS Lazio,2,1,H,SERIEA,2021-22,openfootball
SERIEA,13/12/2021,AS Roma,Spezia Calcio,2,0,H,SERIEA,2021-22,openfootball
SERIEA,17/12/2021,SS Lazio,Genoa CFC,3,1,H,SERIEA,2021-22,openfootball
SERIEA,17/12/2021,US Salernitana 1919,FC Internazionale Milano,0,5,A,SERIEA,2021-22,openfootball
SERIEA,18/12/2021,Atalanta BC,AS Roma,1,4,A,SERIEA,2021-22,openfootball
SERIEA,18/12/2021,Bologna FC 1909,Juventus FC,0,2,A,SERIEA,2021-22,openfootball
SERIEA,18/12/2021,Cagliari Calcio,Udinese Calcio,0,4,A,SERIEA,2021-22,openfootball
SERIEA,19/12/2021,AC Milan,SSC Napoli,0,1,A,SERIEA,2021-22,openfootball
SERIEA,19/12/2021,ACF Fiorentina,US Sassuolo Calcio,2,2,D,SERIEA,2021-22,openfootball
SERIEA,19/12/2021,Spezia Calcio,Empoli FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,19/12/2021,Torino FC,Hellas Verona FC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,19/12/2021,UC Sampdoria,Venezia FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,21/12/2021,Genoa CFC,Atalanta BC,0,0,D,SERIEA,2021-22,openfootball
SERIEA,21/12/2021,Juventus FC,Cagliari Calcio,2,0,H,SERIEA,2021-22,openfootball
SERIEA,22/12/2021,AS Roma,UC Sampdoria,1,1,D,SERIEA,2021-22,openfootball
SERIEA,22/12/2021,Empoli FC,AC Milan,2,4,A,SERIEA,2021-22,openfootball
SERIEA,22/12/2021,FC Internazionale Milano,Torino FC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,22/12/2021,Hellas Verona FC,ACF Fiorentina,1,1,D,SERIEA,2021-22,openfootball
SERIEA,22/12/2021,SSC Napoli,Spezia Calcio,0,1,A,SERIEA,2021-22,openfootball
SERIEA,22/12/2021,US Sassuolo Calcio,Bologna FC 1909,0,3,A,SERIEA,2021-22,openfootball
SERIEA,22/12/2021,Venezia FC,SS Lazio,1,3,A,SERIEA,2021-22,openfootball
SERIEA,06/01/2022,AC Milan,AS Roma,3,1,H,SERIEA,2021-22,openfootball
SERIEA,06/01/2022,Juventus FC,SSC Napoli,1,1,D,SERIEA,2021-22,openfootball
SERIEA,06/01/2022,SS Lazio,Empoli FC,3,3,D,SERIEA,2021-22,openfootball
SERIEA,06/01/2022,Spezia Calcio,Hellas Verona FC,1,2,A,SERIEA,2021-22,openfootball
SERIEA,06/01/2022,UC Sampdoria,Cagliari Calcio,1,2,A,SERIEA,2021-22,openfootball
SERIEA,06/01/2022,US Sassuolo Calcio,Genoa CFC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,09/01/2022,AS Roma,Juventus FC,3,4,A,SERIEA,2021-22,openfootball
SERIEA,09/01/2022,Empoli FC,US Sassuolo Calcio,1,5,A,SERIEA,2021-22,openfootball
SERIEA,09/01/2022,FC Internazionale Milano,SS Lazio,2,1,H,SERIEA,2021-22,openfootball
SERIEA,09/01/2022,Genoa CFC,Spezia Calcio,0,1,A,SERIEA,2021-22,openfootball
SERIEA,09/01/2022,Hellas Verona FC,US Salernitana 1919,1,2,A,SERIEA,2021-22,openfootball
SERIEA,09/01/2022,SSC Napoli,UC Sampdoria,1,0,H,SERIEA,2021-22,openfootball
SERIEA,09/01/2022,Udinese Calcio,Atalanta BC,2,6,A,SERIEA,2021-22,openfootball
SERIEA,09/01/2022,Venezia FC,AC Milan,0,3,A,SERIEA,2021-22,openfootball
SERIEA,10/01/2022,Torino FC,ACF Fiorentina,4,0,H,SERIEA,2021-22,openfootball
SERIEA,11/01/2022,Cagliari Calcio,Bologna FC 1909,2,1,H,SERIEA,2021-22,openfootball
SERIEA,15/01/2022,Juventus FC,Udinese Calcio,2,0,H,SERIEA,2021-22,openfootball
SERIEA,15/01/2022,UC Sampdoria,Torino FC,1,2,A,SERIEA,2021-22,openfootball
SERIEA,15/01/2022,US Salernitana 1919,SS Lazio,0,3,A,SERIEA,2021-22,openfootball
SERIEA,16/01/2022,AS Roma,Cagliari Calcio,1,0,H,SERIEA,2021-22,openfootball
SERIEA,16/01/2022,Atalanta BC,FC Internazionale Milano,0,0,D,SERIEA,2021-22,openfootball
SERIEA,16/01/2022,US Sassuolo Calcio,Hellas Verona FC,2,4,A,SERIEA,2021-22,openfootball
SERIEA,16/01/2022,Venezia FC,Empoli FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,17/01/2022,AC Milan,Spezia Calcio,1,2,A,SERIEA,2021-22,openfootball
SERIEA,17/01/2022,ACF Fiorentina,Genoa CFC,6,0,H,SERIEA,2021-22,openfootball
SERIEA,17/01/2022,Bologna FC 1909,SSC Napoli,0,2,A,SERIEA,2021-22,openfootball
SERIEA,21/01/2022,Hellas Verona FC,Bologna FC 1909,2,1,H,SERIEA,2021-22,openfootball
SERIEA,22/01/2022,FC Internazionale Milano,Venezia FC,2,1,H,SERIEA,2021-22,openfootball
SERIEA,22/01/2022,Genoa CFC,Udinese Calcio,0,0,D,SERIEA,2021-22,openfootball
SERIEA,22/01/2022,SS Lazio,Atalanta BC,0,0,D,SERIEA,2021-22,openfootball
SERIEA,23/01/2022,AC Milan,Juventus FC,0,0,D,SERIEA,2021-22,openfootball
SERIEA,23/01/2022,Cagliari Calcio,ACF Fiorentina,1,1,D,SERIEA,2021-22,openfootball
SERIEA,23/01/2022,Empoli FC,AS Roma,2,4,A,SERIEA,2021-22,openfootball
SERIEA,23/01/2022,SSC Napoli,US Salernitana 1919,4,1,H,SERIEA,2021-22,openfootball
SERIEA,23/01/2022,Spezia Calcio,UC Sampdoria,1,0,H,SERIEA,2021-22,openfootball
SERIEA,23/01/2022,Torino FC,US Sassuolo Calcio,1,1,D,SERIEA,2021-22,openfootball
SERIEA,05/02/2022,ACF Fiorentina,SS Lazio,0,3,A,SERIEA,2021-22,openfootball
SERIEA,05/02/2022,AS Roma,Genoa CFC,0,0,D,SERIEA,2021-22,openfootball
SERIEA,05/02/2022,FC Internazionale Milano,AC Milan,1,2,A,SERIEA,2021-22,openfootball
SERIEA,06/02/2022,Atalanta BC,Cagliari Calcio,1,2,A,SERIEA,2021-22,openfootball
SERIEA,06/02/2022,Bologna FC 1909,Empoli FC,0,0,D,SERIEA,2021-22,openfootball
SERIEA,06/02/2022,Juventus FC,Hellas Verona FC,2,0,H,SERIEA,2021-22,openfootball
SERIEA,06/02/2022,UC Sampdoria,US Sassuolo Calcio,4,0,H,SERIEA,2021-22,openfootball
SERIEA,06/02/2022,Udinese Calcio,Torino FC,2,0,H,SERIEA,2021-22,openfootball
SERIEA,06/02/2022,Venezia FC,SSC Napoli,0,2,A,SERIEA,2021-22,openfootball
SERIEA,07/02/2022,US Salernitana 1919,Spezia Calcio,2,2,D,SERIEA,2021-22,openfootball
SERIEA,12/02/2022,SS Lazio,Bologna FC 1909,3,0,H,SERIEA,2021-22,openfootball
SERIEA,12/02/2022,SSC Napoli,FC Internazionale Milano,1,1,D,SERIEA,2021-22,openfootball
SERIEA,12/02/2022,Torino FC,Venezia FC,1,2,A,SERIEA,2021-22,openfootball
SERIEA,13/02/2022,AC Milan,UC Sampdoria,1,0,H,SERIEA,2021-22,openfootball
SERIEA,13/02/2022,Atalanta BC,Juventus FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,13/02/2022,Empoli FC,Cagliari Calcio,1,1,D,SERIEA,2021-22,openfootball
SERIEA,13/02/2022,Genoa CFC,US Salernitana 1919,1,1,D,SERIEA,2021-22,openfootball
SERIEA,13/02/2022,Hellas Verona FC,Udinese Calcio,4,0,H,SERIEA,2021-22,openfootball
SERIEA,13/02/2022,US Sassuolo Calcio,AS Roma,2,2,D,SERIEA,2021-22,openfootball
SERIEA,14/02/2022,Spezia Calcio,ACF Fiorentina,1,2,A,SERIEA,2021-22,openfootball
SERIEA,18/02/2022,Juventus FC,Torino FC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,19/02/2022,AS Roma,Hellas Verona FC,2,2,D,SERIEA,2021-22,openfootball
SERIEA,19/02/2022,UC Sampdoria,Empoli FC,2,0,H,SERIEA,2021-22,openfootball
SERIEA,19/02/2022,US Salernitana 1919,AC Milan,2,2,D,SERIEA,2021-22,openfootball
SERIEA,20/02/2022,ACF Fiorentina,Atalanta BC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,20/02/2022,FC Internazionale Milano,US Sassuolo Calcio,0,2,A,SERIEA,2021-22,openfootball
SERIEA,20/02/2022,Udinese Calcio,SS Lazio,1,1,D,SERIEA,2021-22,openfootball
SERIEA,20/02/2022,Venezia FC,Genoa CFC,1,1,D,SERIEA,2021-22,openfootball
SERIEA,21/02/2022,Bologna FC 1909,Spezia Calcio,2,1,H,SERIEA,2021-22,openfootball
SERIEA,21/02/2022,Cagliari Calcio,SSC Napoli,1,1,D,SERIEA,2021-22,openfootball
SERIEA,25/02/2022,AC Milan,Udinese Calcio,1,1,D,SERIEA,2021-22,openfootball
SERIEA,25/02/2022,Genoa CFC,FC Internazionale Milano,0,0,D,SERIEA,2021-22,openfootball
SERIEA,26/02/2022,Empoli FC,Juventus FC,2,3,A,SERIEA,2021-22,openfootball
SERIEA,26/02/2022,US Salernitana 1919,Bologna FC 1909,1,1,D,SERIEA,2021-22,openfootball
SERIEA,26/02/2022,US Sassuolo Calcio,ACF Fiorentina,2,1,H,SERIEA,2021-22,openfootball
SERIEA,27/02/2022,Hellas Verona FC,Venezia FC,3,1,H,SERIEA,2021-22,openfootball
SERIEA,27/02/2022,SS Lazio,SSC Napoli,1,2,A,SERIEA,2021-22,openfootball
SERIEA,27/02/2022,Spezia Calcio,AS Roma,0,1,A,SERIEA,2021-22,openfootball
SERIEA,27/02/2022,Torino FC,Cagliari Calcio,1,2,A,SERIEA,2021-22,openfootball
SERIEA,28/02/2022,Atalanta BC,UC Sampdoria,4,0,H,SERIEA,2021-22,openfootball
SERIEA,04/03/2022,FC Internazionale Milano,US Salernitana 1919,5,0,H,SERIEA,2021-22,openfootball
SERIEA,05/03/2022,AS Roma,Atalanta BC,1,0,H,SERIEA,2021-22,openfootball
SERIEA,05/03/2022,Cagliari Calcio,SS Lazio,0,3,A,SERIEA,2021-22,openfootball
